n,Skewness,Excess kurtosis,OLS bootstrap,OLS Sobel,Box-Cox bootstrap,Winsorized bootstap,Median bootstrap,ROBMED
100,-1,1,0.087,0.028,0.080,0.094,0.075,0.078
100,-1,2,0.089,0.025,0.077,0.090,0.069,0.072
100,-1,3,0.093,0.025,0.076,0.090,0.070,0.077
100,-1,4,0.094,0.028,0.077,0.090,0.067,0.080
100,-0.5,0,0.082,0.026,0.074,0.085,0.069,0.074
100,-0.5,1,0.084,0.024,0.080,0.094,0.069,0.082
100,-0.5,2,0.094,0.026,0.079,0.094,0.074,0.079
100,-0.5,3,0.093,0.026,0.081,0.095,0.074,0.085
100,-0.5,4,0.098,0.025,0.081,0.096,0.073,0.087
100,0,-1,0.073,0.025,0.074,0.069,0.084,0.082
100,0,0,0.084,0.023,0.077,0.094,0.073,0.084
100,0,1,0.089,0.024,0.082,0.101,0.071,0.085
100,0,2,0.093,0.027,0.083,0.100,0.075,0.084
100,0,3,0.095,0.027,0.083,0.099,0.077,0.087
100,0,4,0.097,0.027,0.082,0.099,0.070,0.089
100,0.5,0,0.084,0.022,0.076,0.090,0.076,0.085
100,0.5,1,0.086,0.023,0.081,0.097,0.073,0.090
100,0.5,2,0.089,0.026,0.079,0.095,0.081,0.089
100,0.5,3,0.088,0.027,0.081,0.098,0.084,0.088
100,0.5,4,0.090,0.029,0.079,0.098,0.080,0.089
100,1,1,0.085,0.022,0.070,0.089,0.084,0.087
100,1,2,0.090,0.024,0.078,0.095,0.089,0.091
100,1,3,0.089,0.025,0.080,0.099,0.085,0.087
100,1,4,0.090,0.025,0.079,0.099,0.082,0.086
250,-1,1,0.067,0.044,0.060,0.073,0.068,0.060
250,-1,2,0.057,0.041,0.053,0.071,0.054,0.056
250,-1,3,0.063,0.038,0.056,0.065,0.055,0.055
250,-1,4,0.061,0.039,0.059,0.065,0.053,0.056
250,-0.5,0,0.056,0.036,0.055,0.066,0.059,0.058
250,-0.5,1,0.054,0.034,0.054,0.069,0.049,0.050
250,-0.5,2,0.059,0.035,0.055,0.070,0.057,0.054
250,-0.5,3,0.060,0.035,0.053,0.069,0.058,0.057
250,-0.5,4,0.062,0.036,0.058,0.070,0.059,0.060
250,0,-1,0.068,0.052,0.067,0.070,0.080,0.068
250,0,0,0.054,0.038,0.052,0.066,0.055,0.061
250,0,1,0.058,0.034,0.050,0.074,0.058,0.059
250,0,2,0.059,0.032,0.056,0.075,0.051,0.059
250,0,3,0.062,0.036,0.055,0.075,0.050,0.061
250,0,4,0.064,0.037,0.056,0.077,0.050,0.059
250,0.5,0,0.053,0.036,0.054,0.067,0.070,0.066
250,0.5,1,0.060,0.037,0.051,0.072,0.063,0.061
250,0.5,2,0.060,0.036,0.053,0.076,0.055,0.060
250,0.5,3,0.061,0.035,0.054,0.078,0.052,0.058
250,0.5,4,0.063,0.036,0.054,0.080,0.056,0.058
250,1,1,0.067,0.033,0.058,0.082,0.066,0.060
250,1,2,0.064,0.034,0.056,0.074,0.066,0.064
250,1,3,0.065,0.035,0.057,0.076,0.061,0.062
250,1,4,0.069,0.035,0.057,0.078,0.065,0.062
