n,Probability of outliers,Outlier shift d,OLS bootstrap,OLS Sobel,Box-Cox bootstrap,Winsorized bootstap,Median bootstrap,ROBMED
100,0,0,0.984,0.957,0.979,0.985,0.842,0.958
100,0.01,1,0.976,0.953,0.973,0.978,0.829,0.942
100,0.01,2,0.875,0.868,0.888,0.965,0.797,0.935
100,0.01,3,0.456,0.670,0.633,0.963,0.748,0.952
100,0.01,4,0.363,0.469,0.477,0.960,0.687,0.954
100,0.01,5,0.363,0.364,0.414,0.961,0.627,0.954
100,0.01,6,0.363,0.357,0.395,0.961,0.563,0.954
100,0.02,1,0.969,0.937,0.966,0.972,0.808,0.932
100,0.02,2,0.701,0.715,0.739,0.901,0.727,0.903
100,0.02,3,0.219,0.389,0.367,0.892,0.633,0.945
100,0.02,4,0.122,0.222,0.232,0.886,0.536,0.948
100,0.02,5,0.122,0.132,0.169,0.886,0.435,0.948
100,0.02,6,0.122,0.121,0.154,0.884,0.349,0.948
100,0.03,1,0.964,0.919,0.955,0.966,0.789,0.911
100,0.03,2,0.503,0.540,0.564,0.803,0.660,0.864
100,0.03,3,0.094,0.209,0.209,0.771,0.498,0.944
100,0.03,4,0.044,0.095,0.107,0.760,0.374,0.947
100,0.03,5,0.044,0.048,0.069,0.750,0.268,0.948
100,0.03,6,0.044,0.043,0.062,0.748,0.199,0.948
100,0.04,1,0.960,0.903,0.946,0.960,0.748,0.901
100,0.04,2,0.367,0.388,0.434,0.669,0.566,0.814
100,0.04,3,0.035,0.102,0.112,0.624,0.394,0.944
100,0.04,4,0.015,0.037,0.047,0.608,0.264,0.946
100,0.04,5,0.015,0.016,0.026,0.602,0.168,0.947
100,0.04,6,0.015,0.014,0.024,0.598,0.103,0.947
250,0,0,1.000,1.000,1.000,1.000,1.000,1.000
250,0.01,1,1.000,1.000,1.000,1.000,1.000,1.000
250,0.01,2,1.000,1.000,1.000,1.000,0.999,1.000
250,0.01,3,0.767,0.940,0.954,1.000,0.997,1.000
250,0.01,4,0.260,0.686,0.849,1.000,0.990,1.000
250,0.01,5,0.090,0.437,0.757,1.000,0.971,1.000
250,0.01,6,0.089,0.272,0.688,1.000,0.927,1.000
250,0.02,1,1.000,1.000,1.000,1.000,0.999,1.000
250,0.02,2,0.977,0.987,0.983,0.998,0.996,1.000
250,0.02,3,0.325,0.650,0.732,0.997,0.978,1.000
250,0.02,4,0.035,0.212,0.497,0.995,0.905,1.000
250,0.02,5,0.009,0.085,0.376,0.995,0.787,1.000
250,0.02,6,0.009,0.035,0.302,0.995,0.650,1.000
250,0.03,1,1.000,1.000,1.000,1.000,0.998,1.000
250,0.03,2,0.876,0.929,0.920,0.983,0.983,0.998
250,0.03,3,0.089,0.310,0.452,0.973,0.906,1.000
250,0.03,4,0.003,0.046,0.208,0.966,0.743,1.000
250,0.03,5,0.000,0.012,0.129,0.962,0.544,1.000
250,0.03,6,0.000,0.004,0.088,0.959,0.349,1.000
250,0.04,1,1.000,1.000,1.000,1.000,0.998,1.000
250,0.04,2,0.721,0.797,0.782,0.919,0.951,0.987
250,0.04,3,0.020,0.101,0.200,0.881,0.791,1.000
250,0.04,4,0.000,0.009,0.057,0.863,0.529,1.000
250,0.04,5,0.000,0.001,0.034,0.857,0.292,1.000
250,0.04,6,0.000,0.000,0.020,0.851,0.150,1.000
