n,Probability of outliers,Outlier shift d,OLS bootstrap,OLS Sobel,Box-Cox bootstrap,Winsorized bootstap,Median bootstrap,ROBMED
100,0,0,0.072,0.030,0.072,0.084,0.083,0.070
100,0.01,1,0.082,0.031,0.080,0.094,0.085,0.087
100,0.01,2,0.107,0.050,0.097,0.118,0.091,0.105
100,0.01,3,0.184,0.148,0.134,0.126,0.098,0.087
100,0.01,4,0.248,0.274,0.154,0.127,0.118,0.071
100,0.01,5,0.298,0.399,0.163,0.128,0.127,0.077
100,0.01,6,0.315,0.476,0.169,0.129,0.144,0.079
100,0.02,1,0.086,0.028,0.087,0.099,0.087,0.091
100,0.02,2,0.166,0.096,0.163,0.180,0.103,0.120
100,0.02,3,0.339,0.301,0.238,0.202,0.120,0.096
100,0.02,4,0.469,0.483,0.274,0.213,0.155,0.076
100,0.02,5,0.517,0.594,0.293,0.216,0.170,0.082
100,0.02,6,0.516,0.630,0.309,0.218,0.213,0.083
100,0.03,1,0.098,0.026,0.101,0.113,0.094,0.101
100,0.03,2,0.253,0.159,0.230,0.263,0.132,0.161
100,0.03,3,0.496,0.455,0.352,0.336,0.168,0.135
100,0.03,4,0.635,0.638,0.398,0.351,0.217,0.095
100,0.03,5,0.665,0.697,0.419,0.356,0.276,0.083
100,0.03,6,0.648,0.678,0.429,0.359,0.332,0.086
100,0.04,1,0.105,0.032,0.107,0.120,0.106,0.110
100,0.04,2,0.343,0.227,0.313,0.360,0.165,0.226
100,0.04,3,0.614,0.582,0.462,0.457,0.228,0.199
100,0.04,4,0.745,0.720,0.517,0.475,0.308,0.132
100,0.04,5,0.740,0.717,0.535,0.485,0.389,0.092
100,0.04,6,0.697,0.659,0.545,0.490,0.459,0.088
250,0,0,0.068,0.045,0.066,0.077,0.073,0.071
250,0.01,1,0.065,0.046,0.061,0.080,0.071,0.072
250,0.01,2,0.131,0.102,0.122,0.129,0.086,0.091
250,0.01,3,0.285,0.314,0.209,0.138,0.112,0.072
250,0.01,4,0.455,0.582,0.260,0.141,0.125,0.064
250,0.01,5,0.575,0.750,0.281,0.143,0.141,0.069
250,0.01,6,0.662,0.835,0.301,0.144,0.180,0.069
250,0.02,1,0.078,0.050,0.077,0.088,0.086,0.093
250,0.02,2,0.279,0.256,0.256,0.286,0.125,0.163
250,0.02,3,0.598,0.684,0.451,0.325,0.180,0.092
250,0.02,4,0.821,0.896,0.523,0.336,0.265,0.061
250,0.02,5,0.890,0.961,0.561,0.340,0.326,0.070
250,0.02,6,0.921,0.977,0.586,0.342,0.402,0.070
250,0.03,1,0.090,0.060,0.096,0.107,0.103,0.121
250,0.03,2,0.436,0.412,0.402,0.443,0.193,0.256
250,0.03,3,0.843,0.887,0.653,0.513,0.301,0.107
250,0.03,4,0.952,0.985,0.747,0.528,0.422,0.058
250,0.03,5,0.977,0.991,0.787,0.533,0.531,0.067
250,0.03,6,0.983,0.992,0.807,0.537,0.641,0.068
250,0.04,1,0.113,0.071,0.113,0.146,0.131,0.154
250,0.04,2,0.614,0.608,0.569,0.624,0.279,0.364
250,0.04,3,0.951,0.972,0.846,0.718,0.455,0.154
250,0.04,4,0.986,0.997,0.902,0.732,0.600,0.071
250,0.04,5,0.992,0.993,0.923,0.741,0.723,0.064
250,0.04,6,0.970,0.983,0.929,0.743,0.803,0.068
