n,gamma,nu,Skewness,Excess kurtosis,OLS bootstrap,OLS Sobel,Box-Cox bootstrap,Winsorized bootstap,Median bootstrap,ROBMED
100,-Inf,Inf,-0.995,0.869,0.999,1.000,0.999,1.000,0.965,1.000
100,-2.174,Inf,-0.500,0.347,0.999,0.999,0.998,0.998,0.947,0.995
100,0,Inf,0.000,0.000,0.989,0.973,0.987,0.989,0.873,0.968
100,2.174,Inf,0.500,0.347,0.999,0.996,0.997,0.997,0.963,0.993
100,Inf,Inf,0.995,0.869,0.996,0.996,0.996,0.997,0.966,0.998
100,-Inf,5,-2.550,20.109,0.970,0.976,0.996,0.999,0.983,0.998
100,-2.174,5,-1.869,14.138,0.970,0.968,0.994,0.995,0.968,0.996
100,0,5,0.000,6.000,0.907,0.860,0.934,0.957,0.847,0.936
100,2.174,5,1.869,14.138,0.965,0.968,0.988,0.993,0.970,0.995
100,Inf,5,2.550,20.109,0.970,0.976,0.991,0.996,0.982,0.998
100,-Inf,2,NA,NA,0.634,0.453,0.986,0.969,0.950,0.994
100,-2.174,2,NA,NA,0.625,0.428,0.951,0.942,0.918,0.977
100,0,2,NA,NA,0.542,0.330,0.773,0.812,0.779,0.865
100,2.174,2,NA,NA,0.639,0.450,0.940,0.937,0.906,0.980
100,Inf,2,NA,NA,0.653,0.483,0.983,0.959,0.942,0.998
250,-Inf,Inf,-0.995,0.869,1.000,1.000,1.000,1.000,1.000,1.000
250,-2.174,Inf,-0.500,0.347,1.000,1.000,1.000,1.000,1.000,1.000
250,0,Inf,0.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000
250,2.174,Inf,0.500,0.347,1.000,1.000,1.000,1.000,1.000,1.000
250,Inf,Inf,0.995,0.869,1.000,1.000,1.000,1.000,1.000,1.000
250,-Inf,5,-2.550,20.109,0.999,1.000,1.000,1.000,1.000,1.000
250,-2.174,5,-1.869,14.138,0.999,1.000,1.000,1.000,1.000,1.000
250,0,5,0.000,6.000,0.996,0.998,0.999,0.999,0.999,1.000
250,2.174,5,1.869,14.138,0.999,1.000,1.000,1.000,1.000,1.000
250,Inf,5,2.550,20.109,0.999,1.000,1.000,1.000,1.000,1.000
250,-Inf,2,NA,NA,0.821,0.793,1.000,1.000,1.000,1.000
250,-2.174,2,NA,NA,0.813,0.779,0.998,0.998,0.999,1.000
250,0,2,NA,NA,0.776,0.696,0.987,0.990,0.991,0.997
250,2.174,2,NA,NA,0.820,0.783,1.000,0.998,0.999,1.000
250,Inf,2,NA,NA,0.817,0.793,1.000,1.000,0.999,1.000
