"n","gamma","nu","Skewness","Excess kurtosis","OLS bootstrap Bias","OLS bootstrap Std. dev.","OLS Sobel Bias","OLS Sobel Std. dev.","Box-Cox bootstrap Bias","Box-Cox bootstrap Std. dev.","Winsorized bootstap Bias","Winsorized bootstap Std. dev.","Median bootstrap Bias","Median bootstrap Std. dev.","ROBMED Bias","ROBMED Std. dev."
100,-Inf,Inf,"-0.995","0.869","0.001","0.042","0.001","0.042","0.004","0.068","-0.001","0.042","0.003","0.048","0.002","0.042"
100,-2.174,Inf,"-0.500","0.347","0.000","0.042","0.000","0.042","0.002","0.061","-0.000","0.042","0.001","0.046","0.001","0.044"
100,0,Inf,"0.000","0.000","0.000","0.042","0.000","0.042","0.001","0.044","0.000","0.043","0.000","0.047","0.001","0.046"
100,2.174,Inf,"0.500","0.347","-0.000","0.042","-0.000","0.042","0.001","0.055","-0.000","0.042","0.001","0.045","0.000","0.044"
100,Inf,Inf,"0.995","0.869","-0.000","0.041","-0.000","0.041","0.002","0.058","-0.002","0.041","0.002","0.046","0.001","0.041"
100,-Inf,5,"-2.550","20.109","0.001","0.045","0.001","0.045","0.004","0.064","-0.001","0.040","0.005","0.040","0.003","0.035"
100,-2.174,5,"-1.869","14.138","0.000","0.044","0.001","0.044","0.002","0.060","-0.000","0.041","0.002","0.039","0.002","0.038"
100,0,5,"0.000","6.000","0.000","0.044","0.000","0.044","0.001","0.051","0.000","0.042","0.000","0.040","0.001","0.040"
100,2.174,5,"1.869","14.138","0.000","0.043","-0.000","0.043","0.001","0.052","-0.000","0.040","0.002","0.038","0.001","0.037"
100,Inf,5,"2.550","20.109","-0.000","0.043","-0.000","0.043","0.001","0.042","-0.001","0.039","0.004","0.038","0.001","0.033"
100,-Inf,2,"NA","NA","0.000","0.081","0.000","0.075","0.004","0.067","0.002","0.038","0.007","0.028","0.002","0.022"
100,-2.174,2,"NA","NA","0.000","0.080","0.000","0.075","0.003","0.066","0.001","0.039","0.005","0.028","0.002","0.025"
100,0,2,"NA","NA","0.000","0.097","0.001","0.095","0.001","0.079","0.001","0.040","0.001","0.028","0.001","0.029"
100,2.174,2,"NA","NA","0.001","0.080","0.001","0.079","0.002","0.077","0.001","0.036","0.004","0.027","0.001","0.025"
100,Inf,2,"NA","NA","0.001","0.073","0.001","0.072","0.000","0.039","0.001","0.035","0.007","0.027","0.002","0.022"
250,-Inf,Inf,"-0.995","0.869","0.000","0.025","0.000","0.025","0.002","0.043","-0.002","0.025","0.000","0.029","-0.001","0.025"
250,-2.174,Inf,"-0.500","0.347","0.000","0.025","0.000","0.025","0.001","0.038","-0.001","0.025","-0.001","0.027","-0.001","0.026"
250,0,Inf,"0.000","0.000","0.000","0.025","0.000","0.025","0.000","0.026","-0.000","0.025","-0.001","0.028","-0.001","0.026"
250,2.174,Inf,"0.500","0.347","0.000","0.025","0.000","0.025","0.001","0.031","-0.001","0.025","-0.000","0.028","-0.000","0.026"
250,Inf,Inf,"0.995","0.869","0.000","0.025","0.000","0.025","0.002","0.032","-0.002","0.025","0.000","0.029","0.000","0.025"
250,-Inf,5,"-2.550","20.109","0.001","0.028","0.001","0.028","0.003","0.041","-0.002","0.024","0.001","0.023","-0.000","0.019"
250,-2.174,5,"-1.869","14.138","0.001","0.028","0.001","0.028","0.001","0.038","-0.001","0.024","0.000","0.023","-0.001","0.021"
250,0,5,"0.000","6.000","0.000","0.026","0.001","0.026","0.000","0.034","-0.000","0.024","-0.001","0.023","-0.001","0.023"
250,2.174,5,"1.869","14.138","0.000","0.026","0.000","0.026","0.001","0.032","-0.001","0.024","0.000","0.023","-0.000","0.022"
250,Inf,5,"2.550","20.109","-0.000","0.026","-0.000","0.026","0.002","0.021","-0.002","0.024","0.002","0.023","0.001","0.019"
250,-Inf,2,"NA","NA","0.013","0.337","0.013","0.342","0.002","0.045","0.000","0.021","0.003","0.014","0.001","0.011"
250,-2.174,2,"NA","NA","0.012","0.306","0.012","0.312","0.001","0.043","0.000","0.022","0.002","0.014","0.000","0.013"
250,0,2,"NA","NA","0.005","0.130","0.005","0.130","0.001","0.053","-0.000","0.022","-0.000","0.014","-0.001","0.015"
250,2.174,2,"NA","NA","0.000","0.040","0.000","0.038","0.002","0.054","0.001","0.022","0.002","0.014","0.001","0.012"
250,Inf,2,"NA","NA","-0.001","0.039","-0.001","0.038","0.002","0.025","0.001","0.021","0.003","0.014","0.001","0.010"
