n,gamma,nu,Skewness,Excess kurtosis,OLS bootstrap,OLS Sobel,Box-Cox bootstrap,Winsorized bootstap,Median bootstrap,ROBMED
100,-Inf,Inf,-0.995,0.869,0.082,0.052,0.071,0.076,0.084,0.074
100,-2.174,Inf,-0.500,0.347,0.076,0.044,0.074,0.091,0.084,0.072
100,0,Inf,0.000,0.000,0.086,0.027,0.082,0.098,0.081,0.081
100,2.174,Inf,0.500,0.347,0.080,0.041,0.071,0.085,0.075,0.077
100,Inf,Inf,0.995,0.869,0.066,0.035,0.063,0.071,0.071,0.069
100,-Inf,5,-2.550,20.109,0.099,0.044,0.080,0.091,0.094,0.082
100,-2.174,5,-1.869,14.138,0.099,0.042,0.085,0.093,0.090,0.089
100,0,5,0.000,6.000,0.091,0.017,0.083,0.101,0.075,0.077
100,2.174,5,1.869,14.138,0.093,0.028,0.076,0.087,0.072,0.079
100,Inf,5,2.550,20.109,0.083,0.030,0.072,0.081,0.084,0.077
100,-Inf,2,NA,NA,0.113,0.013,0.086,0.098,0.096,0.107
100,-2.174,2,NA,NA,0.105,0.014,0.096,0.107,0.086,0.105
100,0,2,NA,NA,0.064,0.007,0.071,0.092,0.064,0.086
100,2.174,2,NA,NA,0.086,0.006,0.079,0.087,0.077,0.104
100,Inf,2,NA,NA,0.096,0.011,0.075,0.080,0.073,0.104
250,-Inf,Inf,-0.995,0.869,0.060,0.046,0.060,0.055,0.053,0.052
250,-2.174,Inf,-0.500,0.347,0.058,0.049,0.056,0.061,0.044,0.050
250,0,Inf,0.000,0.000,0.058,0.037,0.058,0.064,0.059,0.056
250,2.174,Inf,0.500,0.347,0.057,0.041,0.045,0.061,0.037,0.046
250,Inf,Inf,0.995,0.869,0.051,0.043,0.055,0.062,0.050,0.047
250,-Inf,5,-2.550,20.109,0.074,0.051,0.069,0.065,0.066,0.060
250,-2.174,5,-1.869,14.138,0.079,0.045,0.066,0.077,0.063,0.061
250,0,5,0.000,6.000,0.076,0.035,0.069,0.079,0.062,0.059
250,2.174,5,1.869,14.138,0.082,0.041,0.052,0.072,0.053,0.056
250,Inf,5,2.550,20.109,0.073,0.038,0.056,0.068,0.057,0.055
250,-Inf,2,NA,NA,0.097,0.024,0.075,0.070,0.063,0.079
250,-2.174,2,NA,NA,0.094,0.022,0.076,0.087,0.073,0.078
250,0,2,NA,NA,0.112,0.014,0.074,0.095,0.056,0.074
250,2.174,2,NA,NA,0.103,0.023,0.067,0.079,0.070,0.075
250,Inf,2,NA,NA,0.101,0.023,0.058,0.081,0.067,0.071
